Word,Bigram,Conc.M,Conc.SD,Unknown,Total,Percent_known,SUBTLEX,Dom_Pos,word,log_freq,rt,url,trial_type,trial_index,time_elapsed,internal_node_id,subject,survey_code,stimulus,key_press,sensible,critical,Class,practice,order,string,same,version_with_order,item_version,item,source,different_frame,ambiguity_type,response,correct_response,Gender,Native_Speaker,Mobile_Device,Age,B1,B2,version,bot_avg,log_rt,rt_z,count.x,prior_accuracy,prior_rt,distance_bert,distance_elmo,mean_relatedness,median_relatedness,sd_relatedness,se_relatedness,count.y,length
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,796,NA,html-keyboard-response,149,226462,0.0-70.0-1.0,b3kl0cgv2r,b3kl0cgv2r,It was a bright orange.<p>,77,S,yes,N,main,second,orange,FALSE,M1_b_M2_a,M2_a,28,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,20,2,Chair,M1_b_M2_a,1,6.679599186,-0.403491465,55,0.913043478,7.391342004,0.236619532,0.085292876,2.5,3,1.603567451,0.56694671,8,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,1318,NA,html-keyboard-response,45,137887,0.0-18.0-1.0,sn1yu7vsxd,sn1yu7vsxd,It was a juicy orange.<p>,77,S,yes,N,main,second,orange,FALSE,M2_b_M1_a,M1_a,28,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,19,2,Chair,M1_a_M2_b,1,7.183870715,0.025536338,55,1,7.039160345,0.273911238,0.052660882,1,0,1.414213562,0.471404521,9,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,991,NA,html-keyboard-response,233,542576,0.0-112.0-1.0,xqssc38w0c,xqssc38w0c,It was a juicy orange.<p>,77,S,yes,N,main,second,orange,FALSE,M2_b_M1_a,M1_a,28,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Prefer not to answer,Yes,No,19,2,Chair,M1_a_M2_b,1,6.898714534,-0.554139127,54,1,7.039160345,0.273911238,0.052660882,1,0,1.414213562,0.471404521,9,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,1116,NA,html-keyboard-response,165,264447,0.0-78.0-1.0,4c5xx9azr7,4c5xx9azr7,It was a juicy orange.<p>,77,S,yes,N,main,second,orange,FALSE,M2_b_M1_a,M1_a,28,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,21,2,Chair,M1_a_M2_b,1,7.017506143,0.097498428,55,1,7.039160345,0.273911238,0.052660882,1,0,1.414213562,0.471404521,9,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,756,NA,html-keyboard-response,157,219355,0.0-74.0-1.0,dbd0l1933k,dbd0l1933k,It was a ripe orange.<p>,77,S,yes,N,main,second,orange,FALSE,M2_a_M1_b,M1_b,28,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Male,Yes,No,18,2,Chair,M1_b_M2_a,1,6.628041376,-0.493829294,55,0.95,7.102598757,0.236619532,0.085292876,2.5,3,1.603567451,0.56694671,8,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,1948,NA,html-keyboard-response,179,519361,0.0-85.0-1.0,spkx08cwjj,spkx08cwjj,It was a reddish orange.<p>,77,S,yes,N,main,second,orange,FALSE,M1_a_M2_b,M2_b,28,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,18,2,Chair,M1_a_M2_b,1,7.574558484,0.232247567,55,0.935483871,7.494894462,0.273911238,0.052660882,1,0,1.414213562,0.471404521,9,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,1248,NA,html-keyboard-response,159,448438,0.0-75.0-1.0,epkefl89q5,epkefl89q5,It was a juicy orange.<p>,77,S,yes,N,main,second,orange,FALSE,M2_b_M1_a,M1_a,28,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,20,2,Chair,M1_a_M2_b,1,7.129297549,-0.30319517,45,1,7.039160345,0.273911238,0.052660882,1,0,1.414213562,0.471404521,9,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,1138,NA,html-keyboard-response,73,161341,0.0-32.0-1.0,36hk5eeq3x,36hk5eeq3x,It was a reddish orange.<p>,77,S,yes,N,main,second,orange,TRUE,M2_a_M2_b,M2_b,28,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Male,Yes,No,21,2,Chair,M2_a_M2_b,1,7.037027615,-0.35462406,55,0.935483871,7.494894462,0.122556508,0.056215107,4,4,0,0,9,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,892,NA,html-keyboard-response,191,273906,0.0-91.0-1.0,flr5bk7hm2,flr5bk7hm2,It was a reddish orange.<p>,77,S,yes,N,main,second,orange,FALSE,M1_a_M2_b,M2_b,28,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,21,2,Chair,M1_a_M2_b,1,6.793466133,-0.430101628,54,0.935483871,7.494894462,0.273911238,0.052660882,1,0,1.414213562,0.471404521,9,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,1271,NA,html-keyboard-response,51,70636,0.0-21.0-1.0,kha24hryvm,kha24hryvm,It was a bright orange.<p>,77,S,yes,N,main,second,orange,FALSE,M1_b_M2_a,M2_a,28,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,20,2,Chair,M1_b_M2_a,1,7.147559271,1.236692453,53,0.913043478,7.391342004,0.236619532,0.085292876,2.5,3,1.603567451,0.56694671,8,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,692,NA,html-keyboard-response,109,191235,0.0-50.0-1.0,nrxcy3jh2z,nrxcy3jh2z,It was a juicy orange.<p>,77,S,yes,N,main,second,orange,TRUE,M1_b_M1_a,M1_a,28,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,21,2,Chair,M1_a_M1_b,1,6.539585956,-1.139856936,55,1,7.039160345,0.083839953,0.051941872,3.65,4,0.988086934,0.220942955,20,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,1108,NA,html-keyboard-response,145,356147,0.0-68.0-1.0,wdgq8cekjp,wdgq8cekjp,It was a bright orange.<p>,77,S,yes,N,main,second,orange,FALSE,M1_a_M2_a,M2_a,28,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,21,2,Chair,M1_a_M2_a,1,7.010311867,-0.474064116,55,0.913043478,7.391342004,0.307211459,0.065273941,2,2,1.763834207,0.404651319,19,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,1858,NA,html-keyboard-response,29,229928,0.0-10.0-1.0,3lr2j29be7,3lr2j29be7,It was a ripe orange.<p>,77,S,yes,N,main,second,orange,FALSE,M2_b_M1_b,M1_b,28,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,21,2,Chair,M1_b_M2_b,1,7.527255919,0.604228695,56,0.95,7.102598757,0.226773024,0.090670049,1.916666667,1.5,1.621353718,0.468044503,12,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,701,NA,html-keyboard-response,143,237250,0.0-67.0-1.0,5zu5xn1fq8,5zu5xn1fq8,It was a reddish orange.<p>,77,S,yes,N,main,second,orange,FALSE,M1_b_M2_b,M2_b,28,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,22,2,Chair,M1_b_M2_b,1,6.552507887,-1.134257979,55,0.935483871,7.494894462,0.226773024,0.090670049,1.916666667,1.5,1.621353718,0.468044503,12,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,1370,NA,html-keyboard-response,249,321200,0.0-120.0-1.0,961ytz4h4r,961ytz4h4r,It was a juicy orange.<p>,77,S,yes,N,main,second,orange,FALSE,M2_a_M1_a,M1_a,28,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,18,2,Chair,M1_a_M2_a,1,7.222566019,0.370654164,55,1,7.039160345,0.307211459,0.065273941,2,2,1.763834207,0.404651319,19,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,1993,NA,html-keyboard-response,53,130875,0.0-22.0-1.0,evdgzy3cvj,evdgzy3cvj,It was a reddish orange.<p>,77,S,yes,N,main,second,orange,FALSE,M1_a_M2_b,M2_b,28,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Male,Yes,No,18,2,Chair,M1_a_M2_b,1,7.59739632,2.235977301,55,0.935483871,7.494894462,0.273911238,0.052660882,1,0,1.414213562,0.471404521,9,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,1883,NA,html-keyboard-response,233,438053,0.0-112.0-1.0,koccaak1qr,koccaak1qr,It was a bright orange.<p>,77,S,yes,N,main,second,orange,FALSE,M1_a_M2_a,M2_a,28,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Male,Yes,No,19,2,Chair,M1_a_M2_a,1,7.540621529,1.553408691,54,0.913043478,7.391342004,0.307211459,0.065273941,2,2,1.763834207,0.404651319,19,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,1331,NA,html-keyboard-response,131,282632,0.0-61.0-1.0,nuoxoyemfp,nuoxoyemfp,It was a reddish orange.<p>,88,S,yes,N,main,second,orange,TRUE,M2_a_M2_b,M2_b,28,Klepousniotou et al (2008),No,Polysemy,N,FALSE,Female,Yes,No,22,2,Chair,M2_a_M2_b,1,7.193685818,-0.366270309,55,0.935483871,7.494894462,0.122556508,0.056215107,4,4,0,0,9,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,1199,NA,html-keyboard-response,139,325576,0.0-65.0-1.0,69bk8m4fc2,69bk8m4fc2,It was a reddish orange.<p>,77,S,yes,N,main,second,orange,FALSE,M1_a_M2_b,M2_b,28,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,21,2,Chair,M1_a_M2_b,1,7.089243155,-0.384310727,55,0.935483871,7.494894462,0.273911238,0.052660882,1,0,1.414213562,0.471404521,9,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,1126,NA,html-keyboard-response,249,482816,0.0-120.0-1.0,j9vhr9vzec,j9vhr9vzec,It was a reddish orange.<p>,77,S,yes,N,main,second,orange,FALSE,M1_b_M2_b,M2_b,28,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,20,2,Chair,M1_b_M2_b,1,7.026426809,-0.490038161,55,0.935483871,7.494894462,0.226773024,0.090670049,1.916666667,1.5,1.621353718,0.468044503,12,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,1263,NA,html-keyboard-response,229,783174,0.0-110.0-1.0,kfp2rkd57s,kfp2rkd57s,It was a reddish orange.<p>,88,S,yes,N,main,second,orange,FALSE,M1_b_M2_b,M2_b,28,Klepousniotou et al (2008),No,Polysemy,N,FALSE,Male,Yes,No,21,2,Chair,M1_b_M2_b,1,7.141245122,-0.380232559,56,0.935483871,7.494894462,0.226773024,0.090670049,1.916666667,1.5,1.621353718,0.468044503,12,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,3326,NA,html-keyboard-response,165,323524,0.0-78.0-1.0,y4puhchaf9,y4puhchaf9,It was a juicy orange.<p>,77,S,yes,N,main,second,orange,FALSE,M2_b_M1_a,M1_a,28,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Male,Yes,No,20,2,Chair,M1_a_M2_b,1,8.10952566,0.939654786,55,1,7.039160345,0.273911238,0.052660882,1,0,1.414213562,0.471404521,9,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,842,NA,html-keyboard-response,85,95016,0.0-38.0-1.0,1lzneddpkq,1lzneddpkq,It was a ripe orange.<p>,77,S,yes,N,main,second,orange,TRUE,M1_a_M1_b,M1_b,28,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,21,2,Chair,M1_a_M1_b,1,6.735780014,-0.274258893,55,0.95,7.102598757,0.083839953,0.051941872,3.65,4,0.988086934,0.220942955,20,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,553,NA,html-keyboard-response,99,196140,0.0-45.0-1.0,92yp2w9v56,92yp2w9v56,It was a juicy orange.<p>,77,S,yes,N,main,second,orange,TRUE,M1_b_M1_a,M1_a,28,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Male,Yes,No,20,2,Chair,M1_a_M1_b,1,6.315358002,-0.954169137,52,1,7.039160345,0.083839953,0.051941872,3.65,4,0.988086934,0.220942955,20,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,940,NA,html-keyboard-response,193,309602,0.0-92.0-1.0,gdwec44k4r,gdwec44k4r,It was a reddish orange.<p>,77,S,yes,N,main,second,orange,TRUE,M2_a_M2_b,M2_b,28,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,20,2,Chair,M2_a_M2_b,1,6.845879875,-0.835619946,54,0.935483871,7.494894462,0.122556508,0.056215107,4,4,0,0,9,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,630,NA,html-keyboard-response,91,149226,0.0-41.0-1.0,w7t2pcpr1z,w7t2pcpr1z,It was a reddish orange.<p>,88,S,yes,N,main,second,orange,FALSE,M1_a_M2_b,M2_b,28,Klepousniotou et al (2008),No,Polysemy,N,FALSE,Female,Yes,No,20,2,Chair,M1_a_M2_b,1,6.445719819,-1.162483712,55,0.935483871,7.494894462,0.273911238,0.052660882,1,0,1.414213562,0.471404521,9,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,1142,NA,html-keyboard-response,81,136119,0.0-36.0-1.0,emcqel00x3,emcqel00x3,It was a bright orange.<p>,77,S,yes,N,main,second,orange,FALSE,M1_a_M2_a,M2_a,28,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,22,2,Chair,M1_a_M2_a,1,7.04053639,0.205981932,55,0.913043478,7.391342004,0.307211459,0.065273941,2,2,1.763834207,0.404651319,19,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,866,NA,html-keyboard-response,223,362859,0.0-107.0-1.0,zjgl4twyhs,zjgl4twyhs,It was a juicy orange.<p>,77,S,yes,N,main,second,orange,TRUE,M1_b_M1_a,M1_a,28,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,20,2,Chair,M1_a_M1_b,1,6.763884909,-0.698716889,55,1,7.039160345,0.083839953,0.051941872,3.65,4,0.988086934,0.220942955,20,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,1599,NA,html-keyboard-response,49,89365,0.0-20.0-1.0,somzvrxnz4,somzvrxnz4,It was a reddish orange.<p>,77,S,yes,N,main,second,orange,FALSE,M1_b_M2_b,M2_b,28,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,19,2,Chair,M1_b_M2_b,1,7.377133713,0.745660751,55,0.935483871,7.494894462,0.226773024,0.090670049,1.916666667,1.5,1.621353718,0.468044503,12,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,1523,NA,html-keyboard-response,139,216497,0.0-65.0-1.0,hs560646yd,hs560646yd,It was a juicy orange.<p>,77,S,yes,N,main,second,orange,FALSE,M2_a_M1_a,M1_a,28,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,21,2,Chair,M1_a_M2_a,1,7.328437353,0.807753397,55,1,7.039160345,0.307211459,0.065273941,2,2,1.763834207,0.404651319,19,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,785,NA,html-keyboard-response,197,288896,0.0-94.0-1.0,uy86my9o9s,uy86my9o9s,It was a ripe orange.<p>,77,S,yes,N,main,second,orange,FALSE,M2_b_M1_b,M1_b,28,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,20,2,Chair,M1_b_M2_b,1,6.665683718,-0.555920658,54,0.95,7.102598757,0.226773024,0.090670049,1.916666667,1.5,1.621353718,0.468044503,12,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,758,NA,html-keyboard-response,31,95697,0.0-11.0-1.0,7hhbw0w7y1,7hhbw0w7y1,It was a ripe orange.<p>,77,S,yes,N,main,second,orange,TRUE,M1_a_M1_b,M1_b,28,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,19,2,Chair,M1_a_M1_b,1,6.630683386,-0.203768304,55,0.95,7.102598757,0.083839953,0.051941872,3.65,4,0.988086934,0.220942955,20,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,738,NA,html-keyboard-response,235,243535,0.0-113.0-1.0,ygz7kz72u2,ygz7kz72u2,It was a ripe orange.<p>,77,S,yes,N,main,second,orange,TRUE,M1_a_M1_b,M1_b,28,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,19,2,Chair,M1_a_M1_b,1,6.603943825,0.026319621,53,0.95,7.102598757,0.083839953,0.051941872,3.65,4,0.988086934,0.220942955,20,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,884,NA,html-keyboard-response,161,329777,0.0-76.0-1.0,unzj7yx25l,unzj7yx25l,It was a bright orange.<p>,77,S,yes,N,main,second,orange,TRUE,M2_b_M2_a,M2_a,28,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,32,2,Chair,M2_a_M2_b,1,6.784457063,-1.06045983,55,0.913043478,7.391342004,0.122556508,0.056215107,4,4,0,0,9,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,962,NA,html-keyboard-response,87,226533,0.0-39.0-1.0,bcycp1bevl,bcycp1bevl,It was a ripe orange.<p>,88,S,yes,N,main,second,orange,TRUE,M1_a_M1_b,M1_b,28,Klepousniotou et al (2008),No,Polysemy,N,FALSE,Male,Yes,No,20,2,Chair,M1_a_M1_b,1,6.869014451,0.063206628,55,0.95,7.102598757,0.083839953,0.051941872,3.65,4,0.988086934,0.220942955,20,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,785,NA,html-keyboard-response,203,248650,0.0-97.0-1.0,gdlhwqulft,gdlhwqulft,It was a bright orange.<p>,77,S,yes,N,main,second,orange,FALSE,M1_a_M2_a,M2_a,28,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,20,2,Chair,M1_a_M2_a,1,6.665683718,-0.608437044,55,0.913043478,7.391342004,0.307211459,0.065273941,2,2,1.763834207,0.404651319,19,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,1786,NA,html-keyboard-response,185,405577,0.0-88.0-1.0,4q5dxb7nhf,4q5dxb7nhf,It was a reddish orange.<p>,77,S,yes,N,main,second,orange,TRUE,M2_a_M2_b,M2_b,28,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,27,2,Chair,M2_a_M2_b,1,7.487733761,0.280340809,54,0.935483871,7.494894462,0.122556508,0.056215107,4,4,0,0,9,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,1432,NA,html-keyboard-response,149,376281,0.0-70.0-1.0,zglqpt5fh7,zglqpt5fh7,It was a juicy orange.<p>,77,S,yes,N,main,second,orange,FALSE,M2_b_M1_a,M1_a,28,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Male,Yes,No,20,2,Chair,M1_a_M2_b,1,7.266827348,0.840394272,55,1,7.039160345,0.273911238,0.052660882,1,0,1.414213562,0.471404521,9,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,2257,NA,html-keyboard-response,235,309445,0.0-113.0-1.0,prlu1sa9my,prlu1sa9my,It was a reddish orange.<p>,77,S,yes,N,main,second,orange,TRUE,M2_a_M2_b,M2_b,28,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,21,2,Chair,M2_a_M2_b,1,7.721791777,2.734569058,55,0.935483871,7.494894462,0.122556508,0.056215107,4,4,0,0,9,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,1010,NA,html-keyboard-response,137,244976,0.0-64.0-1.0,2usccf4uxc,2usccf4uxc,It was a reddish orange.<p>,77,S,yes,N,main,second,orange,FALSE,M1_a_M2_b,M2_b,28,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,20,2,Chair,M1_a_M2_b,1,6.91770561,0.040099706,54,0.935483871,7.494894462,0.273911238,0.052660882,1,0,1.414213562,0.471404521,9,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,699,NA,html-keyboard-response,183,274306,0.0-87.0-1.0,sndaggja6a,sndaggja6a,It was a bright orange.<p>,77,S,yes,N,main,second,orange,TRUE,M2_b_M2_a,M2_a,28,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,18,2,Chair,M2_a_M2_b,1,6.549650742,-0.597639322,55,0.913043478,7.391342004,0.122556508,0.056215107,4,4,0,0,9,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,832,NA,html-keyboard-response,199,320927,0.0-95.0-1.0,50rd5uu19e,50rd5uu19e,It was a ripe orange.<p>,77,S,yes,N,main,second,orange,FALSE,M2_a_M1_b,M1_b,28,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,19,2,Chair,M1_b_M2_a,1,6.723832441,-0.137164656,55,0.95,7.102598757,0.236619532,0.085292876,2.5,3,1.603567451,0.56694671,8,6
orange,0,4.66,0.9,0,29,1,1138,Adjective,orange,3.056523724,1419,NA,html-keyboard-response,241,761796,0.0-116.0-1.0,frqx6vw2d1,frqx6vw2d1,It was a juicy orange.<p>,77,S,yes,N,main,second,orange,FALSE,M2_b_M1_a,M1_a,28,Klepousniotou et al (2008),No,Polysemy,S,TRUE,Female,Yes,No,22,2,Chair,M1_a_M2_b,1,7.257707677,-0.500770133,54,1,7.039160345,0.273911238,0.052660882,1,0,1.414213562,0.471404521,9,6
